"Nom de la demande:Mons_2010_2011";;;;;;;;
"Pas de temps:Journalier";;;;;;;;
"Date de début:01/01/2010";;;;;;;;
"Date de fin:31/12/2011";;;;;;;;
"Station(s):51242002";;;;;;;;
;;;;;;;;
"ETPP:EVAPOTRANSPIRATION PENMAN (MM/DAY)";;;;;;;;
"RG: GLOBAL RADIATION (MEGAJOULES/M2)";;;;;;;;
"RR:RAINFALL (MM)";;;;;;;;
"TN:MINIMAL TEMPERATURE (°C)";;;;;;;;
"TX:MAXIMAL TEMPERATURE (°C)";;;;;;;;
;;;;;;;;
;;;;;;;;
"NUM_POSTE";"AN";"MOIS";"JOUR";"ETPP";"RG";"RR";"TN";"TX"
51242002;2011;1;29;0.4;2.42;0;-2;0
51242002;2011;1;30;0;8.6;0;-3.5;-0.9
51242002;2011;1;31;0.2;1.79;0;-4.3;-2.6
51242002;2011;2;1;0.2;1.8;0.5;-4.9;0.2
51242002;2011;2;2;0.1;3.22;0.5;-0.8;3.3
51242002;2011;2;3;0.1;4.33;0;1.1;8.8
51242002;2011;2;4;0.6;1.89;0;3.9;9.7
51242002;2011;2;5;1.2;1.28;0;8.8;10.8
51242002;2011;2;6;1.2;2.97;0;7.9;9.4
51242002;2011;2;7;0.5;8.44;0;2.7;12.4
51242002;2011;2;8;0;9.05;0;2.1;9.3
51242002;2011;2;9;0;1.81;0;1.9;5.9
51242002;2011;2;10;0.3;2.36;4;2.8;11.5
51242002;2011;2;11;1;5.35;1;9.8;15.1
51242002;2011;2;12;0.9;3.75;0.5;8;10.8
51242002;2011;2;13;0.4;3.69;2;0.9;8.3
51242002;2011;2;14;0.5;4.21;0;5.2;8.5
51242002;2011;2;15;0.4;3.23;0;2.4;6.8
51242002;2011;2;16;0.4;4.19;0;0.9;8.5
